place,count,perc
Parking Lot - Residential,2131,27.675324675324674
Street - Residential,1628,21.142857142857142
Residence - Driveway,870,11.298701298701298
Parking Lot - Commercial,604,7.844155844155844
Parking Garage - Residential,337,4.376623376623376
Street - Commercial,288,3.74025974025974
Auto Dealership,198,2.571428571428571
Street - In vehicle,172,2.2337662337662336
Residence - Single Family,171,2.220779220779221
Street - Other,166,2.155844155844156
Residence - Apartment/Condo,126,1.6363636363636365
Parking Garage - County,102,1.3246753246753247
Parking Garage - Commercial,99,1.2857142857142856
Parking Lot - Other,83,1.077922077922078
Gas Station,80,1.0389610389610389
Residence -Townhouse/Duplex,67,0.8701298701298701
Auto Repair,42,0.5454545454545455
Retail - Other,40,0.5194805194805194
Other/Unknown,39,0.5064935064935064
Residence - Garage,37,0.48051948051948057
Residence - Yard,32,0.4155844155844156
Hotel/Motel/Etc.,30,0.38961038961038963
Convenience Store,27,0.35064935064935066
Parking Garage - Other,27,0.35064935064935066
Parking Lot - Park & Ride,26,0.33766233766233766
Parking Lot - County,23,0.29870129870129875
Commercial - Office Building,20,0.2597402597402597
Commercial - Industrial park,17,0.2207792207792208
Street - Alley,17,0.2207792207792208
Parking Lot - School,16,0.2077922077922078
Residence - Other,15,0.19480519480519481
Parking Garage - Metro,13,0.16883116883116883
Retail - Mall,13,0.16883116883116883
Construction Site,12,0.15584415584415584
Grocery/Supermarket,12,0.15584415584415584
Restaurant,12,0.15584415584415584
Parking Lot - Church,9,0.11688311688311688
Residence - Carport,9,0.11688311688311688
Parking Lot - Metro,8,0.1038961038961039
Parking Lot - Rec Center,8,0.1038961038961039
Rental Storage Facility,7,0.09090909090909091
Bar/Night Club,5,0.06493506493506493
Hospital/Emergency Care Center,5,0.06493506493506493
Retail - Department/Discount Store,5,0.06493506493506493
Bank - ATM,4,0.05194805194805195
Retail - Hardware,4,0.05194805194805195
Air/Bus/Train/Metro Terminal,3,0.03896103896103896
Church/Synagogue/Temple,3,0.03896103896103896
Golf Course,3,0.03896103896103896
Residence - Shed,3,0.03896103896103896
Retail - Clothing,3,0.03896103896103896
Retail - Drug Store/Pharmacy,3,0.03896103896103896
School - Elementary/Secondary,3,0.03896103896103896
Street - Bus Stop,3,0.03896103896103896
Wooded Area,3,0.03896103896103896
Field/ Open Space,2,0.025974025974025976
Government Building,2,0.025974025974025976
Laundromat,2,0.025974025974025976
Library,2,0.025974025974025976
Residence - Apt Ofc/Storage,2,0.025974025974025976
Check Cashing Est.,1,0.012987012987012988
Community Center,1,0.012987012987012988
Liquor Store - Beer & Wine,1,0.012987012987012988
Park,1,0.012987012987012988
Recreation Center,1,0.012987012987012988
Rest Area,1,0.012987012987012988
Retail - Salon/Spa,1,0.012987012987012988
