month,year,count
Jan,2019,200
Jan,2020,239
Jan,2021,188
Jan,2022,221
Jan,2023,644
Feb,2019,167
Feb,2020,185
Feb,2021,159
Feb,2022,164
Feb,2023,685
Mar,2019,183
Mar,2020,170
Mar,2021,189
Mar,2022,224
Mar,2023,592
Apr,2019,162
Apr,2020,164
Apr,2021,224
Apr,2022,187
Apr,2023,543
May,2019,208
May,2020,182
May,2021,256
May,2022,251
May,2023,561
Jun,2019,187
Jun,2020,208
Jun,2021,231
Jun,2022,230
Jun,2023,511
Jul,2019,193
Jul,2020,211
Jul,2021,190
Jul,2022,209
Jul,2023,690
Aug,2019,177
Aug,2020,195
Aug,2021,241
Aug,2022,300
Aug,2023,596
Sep,2019,224
Sep,2020,154
Sep,2021,249
Sep,2022,275
Sep,2023,469
Oct,2019,186
Oct,2020,218
Oct,2021,226
Oct,2022,375
Oct,2023,418
Nov,2019,177
Nov,2020,200
Nov,2021,138
Nov,2022,348
Dec,2019,234
Dec,2020,195
Dec,2021,210
Dec,2022,503
